epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8726,1.24055,2.18432,1.20582,0.71006,0.91588,0.86604,0.57555,1.25713,1.12816,1.27137,0.000122775,0.000122775,0.000122775
2,152.232,1.05168,1.01961,1.15625,0.816,0.90896,0.94009,0.6358,1.21379,0.76877,1.41595,0.000241236,0.000241236,0.000241236
3,225.247,1.03958,0.84567,1.17602,0.77586,0.87051,0.88573,0.62853,1.18863,0.81551,1.39365,0.000354812,0.000354812,0.000354812
4,297.487,1.00614,0.73556,1.16576,0.87101,0.92378,0.93531,0.57044,1.45256,0.73707,1.60273,0.000348022,0.000348022,0.000348022
5,369.358,0.97674,0.67615,1.14821,0.96919,0.97346,0.97745,0.66696,1.17667,0.51939,1.42881,0.000340696,0.000340696,0.000340696
6,440.196,0.95304,0.62311,1.14241,0.92774,0.95032,0.97245,0.70288,1.09599,0.53499,1.33981,0.00033337,0.00033337,0.00033337
7,511.872,0.93541,0.60398,1.12721,0.96484,0.96001,0.97776,0.70445,1.10367,0.48178,1.34455,0.000326044,0.000326044,0.000326044
8,580.925,0.92209,0.57809,1.1294,0.96126,0.96977,0.98065,0.71053,1.07537,0.45757,1.34568,0.000318718,0.000318718,0.000318718
9,649.613,0.8876,0.54757,1.10869,0.96836,0.96194,0.97758,0.70293,1.07005,0.46249,1.32698,0.000311392,0.000311392,0.000311392
10,717.706,0.88064,0.538,1.10172,0.96536,0.97272,0.98166,0.70198,1.12031,0.43682,1.363,0.000304066,0.000304066,0.000304066
11,785.49,0.87386,0.51497,1.09096,0.94649,0.96617,0.96949,0.69875,1.11065,0.45564,1.37032,0.00029674,0.00029674,0.00029674
12,853.489,0.85726,0.50276,1.09019,0.95207,0.96975,0.96637,0.68973,1.13849,0.46904,1.35813,0.000289414,0.000289414,0.000289414
13,921.644,0.84119,0.48641,1.08287,0.96764,0.96231,0.98342,0.70755,1.11835,0.43017,1.36993,0.000282088,0.000282088,0.000282088
14,988.927,0.8162,0.48715,1.06791,0.96212,0.9666,0.97725,0.70914,1.11317,0.43715,1.38318,0.000274762,0.000274762,0.000274762
15,1058.04,0.80407,0.46938,1.06581,0.97389,0.96569,0.97816,0.70303,1.09254,0.42485,1.3369,0.000267436,0.000267436,0.000267436
16,1128.51,0.78286,0.45242,1.05354,0.9598,0.97043,0.96931,0.68779,1.1342,0.46031,1.39631,0.00026011,0.00026011,0.00026011
17,1197.52,0.77506,0.44186,1.04768,0.97153,0.96168,0.98196,0.70291,1.10052,0.42018,1.38934,0.000252784,0.000252784,0.000252784
18,1267.39,0.74989,0.4221,1.03401,0.95972,0.96998,0.9775,0.69831,1.08858,0.42828,1.38341,0.000245458,0.000245458,0.000245458
19,1336.15,0.74504,0.42295,1.02958,0.98315,0.97938,0.98414,0.70792,1.0884,0.40039,1.37905,0.000238132,0.000238132,0.000238132
20,1404.01,0.72404,0.41613,1.02498,0.97762,0.97191,0.98083,0.72412,1.0514,0.39345,1.35291,0.000230806,0.000230806,0.000230806
21,1471.99,0.71182,0.40128,1.01333,0.98376,0.97455,0.98623,0.69523,1.12471,0.41337,1.45082,0.00022348,0.00022348,0.00022348
22,1540.28,0.6934,0.39226,1.00501,0.96889,0.97038,0.9676,0.68758,1.11138,0.44802,1.42576,0.000216154,0.000216154,0.000216154
23,1608.56,0.66936,0.38141,0.99219,0.9724,0.97004,0.9731,0.69339,1.11678,0.4219,1.43661,0.000208828,0.000208828,0.000208828
24,1676.64,0.65544,0.37737,0.98638,0.97743,0.96934,0.98626,0.70275,1.11768,0.4031,1.44875,0.000201502,0.000201502,0.000201502
25,1742.55,0.64579,0.36576,0.98415,0.97217,0.96884,0.96814,0.69606,1.10209,0.42736,1.43696,0.000194176,0.000194176,0.000194176
26,1806.29,0.62634,0.35574,0.97252,0.98175,0.9645,0.97834,0.69831,1.09016,0.41294,1.41937,0.00018685,0.00018685,0.00018685
27,1870.16,0.61156,0.34671,0.96703,0.96078,0.96905,0.97475,0.69794,1.10327,0.43094,1.45094,0.000179524,0.000179524,0.000179524
28,1933.73,0.59382,0.34478,0.95758,0.97803,0.9654,0.9732,0.68912,1.1063,0.42761,1.46834,0.000172198,0.000172198,0.000172198
29,1997.98,0.57487,0.33706,0.94911,0.96572,0.97051,0.96988,0.68592,1.11185,0.43683,1.50285,0.000164872,0.000164872,0.000164872
30,2061.95,0.56699,0.3273,0.94182,0.97307,0.97031,0.96943,0.68371,1.11201,0.43726,1.49389,0.000157546,0.000157546,0.000157546
31,2125.48,0.55884,0.31942,0.94183,0.97185,0.97293,0.97467,0.69826,1.09067,0.41538,1.49164,0.00015022,0.00015022,0.00015022
32,2189.33,0.54195,0.31292,0.93468,0.97463,0.97063,0.96711,0.68272,1.10632,0.43228,1.51063,0.000142894,0.000142894,0.000142894
33,2253.13,0.52005,0.30384,0.92372,0.97705,0.97244,0.96643,0.68718,1.08683,0.4345,1.53343,0.000135568,0.000135568,0.000135568
34,2317.66,0.51916,0.30809,0.92858,0.96944,0.97298,0.97305,0.69608,1.09901,0.43211,1.53418,0.000128242,0.000128242,0.000128242
35,2382.06,0.50182,0.29012,0.91931,0.98021,0.97295,0.97527,0.70248,1.09273,0.40616,1.53385,0.000120916,0.000120916,0.000120916
