epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,84.1307,1.63566,3.66173,1.48001,0.3433,0.48582,0.4328,0.26337,1.32162,1.8157,1.23485,0.000663982,0.000221327,0.000663982,0.000221327,0.000663982,0.000221327,0.000663982,0.000221327
2,153.126,1.10127,1.5806,1.12727,0.7654,0.8677,0.86742,0.58066,1.20552,0.82734,1.24556,0.00130463,0.000434876,0.00130463,0.000434876,0.00130463,0.000434876,0.00130463,0.000434876
3,215.149,0.99614,0.93245,1.10009,0.90119,0.90903,0.95106,0.67903,1.08851,0.52888,1.22073,0.00191886,0.000639621,0.00191886,0.000639621,0.00191886,0.000639621,0.00191886,0.000639621
4,276.029,0.94254,0.70166,1.08293,0.95051,0.96417,0.9743,0.69362,1.13218,0.43929,1.26442,0.00188214,0.00062738,0.00188214,0.00062738,0.00188214,0.00062738,0.00188214,0.00062738
5,335.83,0.91564,0.60413,1.06733,0.9595,0.94609,0.97557,0.70035,1.10159,0.43686,1.24139,0.00184252,0.000614174,0.00184252,0.000614174,0.00184252,0.000614174,0.00184252,0.000614174
6,396.634,0.89056,0.55257,1.06211,0.96344,0.97463,0.97793,0.69824,1.09297,0.39546,1.27202,0.0018029,0.000600967,0.0018029,0.000600967,0.0018029,0.000600967,0.0018029,0.000600967
7,454.646,0.86542,0.50602,1.05675,0.95952,0.97031,0.9698,0.70246,1.09965,0.4091,1.27944,0.00176328,0.00058776,0.00176328,0.00058776,0.00176328,0.00058776,0.00176328,0.00058776
8,514.857,0.84977,0.48319,1.05242,0.97231,0.97542,0.98135,0.73162,1.07728,0.37452,1.29008,0.00172366,0.000574554,0.00172366,0.000574554,0.00172366,0.000574554,0.00172366,0.000574554
9,574.036,0.81911,0.45947,1.03727,0.97413,0.97834,0.98163,0.72377,1.08078,0.37059,1.29241,0.00168404,0.000561347,0.00168404,0.000561347,0.00168404,0.000561347,0.00168404,0.000561347
10,635.755,0.80318,0.44648,1.02983,0.97684,0.97259,0.98374,0.70417,1.14159,0.38051,1.33555,0.00164442,0.000548141,0.00164442,0.000548141,0.00164442,0.000548141,0.00164442,0.000548141
11,694.921,0.7973,0.43012,1.02133,0.96881,0.9721,0.97649,0.70804,1.09946,0.37991,1.33191,0.0016048,0.000534934,0.0016048,0.000534934,0.0016048,0.000534934,0.0016048,0.000534934
12,756.184,0.77803,0.42301,1.0148,0.95855,0.96683,0.97041,0.70143,1.06399,0.37446,1.28619,0.00156518,0.000521727,0.00156518,0.000521727,0.00156518,0.000521727,0.00156518,0.000521727
