epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.7168,1.34665,1.12568,1.27956,0.97605,0.99632,0.99403,0.69228,1.16085,0.37464,1.30108,0.00199095,0.00066365,0.00199095,0.00066365,0.00199095,0.00066365,0.00199095,0.00066365
2,156.329,0.96761,0.44204,1.12543,0.98488,1,0.9948,0.73256,1.06166,0.3438,1.24006,0.00391193,0.00130398,0.00391193,0.00130398,0.00391193,0.00130398,0.00391193,0.00130398
3,220.092,0.94122,0.4101,1.12569,0.98906,0.99859,0.99491,0.72243,1.11095,0.36248,1.31009,0.00575371,0.0019179,0.00575371,0.0019179,0.00575371,0.0019179,0.00575371,0.0019179
4,278.56,0.9192,0.39253,1.11328,0.99185,0.98343,0.99461,0.72919,1.09691,0.35966,1.29729,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,339.605,0.89382,0.37927,1.09661,0.99389,0.98527,0.9948,0.70975,1.11369,0.35892,1.3333,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,398.717,0.86681,0.37487,1.08488,0.99226,0.98527,0.99403,0.74821,1.03507,0.33685,1.2565,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,459.663,0.84407,0.35821,1.07365,0.98796,0.98895,0.99471,0.6974,1.22264,0.37775,1.43399,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,521.881,0.82091,0.35497,1.06678,0.99509,0.99263,0.99496,0.73888,1.06646,0.34059,1.30463,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,583.355,0.78431,0.33545,1.04425,0.99073,0.9845,0.99448,0.7411,1.06801,0.33752,1.28849,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,644.483,0.77355,0.33079,1.03669,0.98997,0.98158,0.99474,0.73133,1.10768,0.36231,1.31643,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,703.007,0.75269,0.32643,1.02239,0.99935,0.98343,0.99484,0.74515,1.03685,0.34124,1.32283,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,764.76,0.72503,0.31574,1.01284,1,0.98505,0.99475,0.74637,1.02975,0.34608,1.29466,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,824.555,0.70857,0.31118,1.00435,0.99255,0.98144,0.99374,0.74143,1.07856,0.34859,1.33855,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,884.874,0.68412,0.30468,0.99132,0.99813,0.98122,0.99442,0.74538,1.04305,0.35504,1.32953,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,946.29,0.6587,0.29429,0.98143,0.99396,0.98158,0.99416,0.73493,1.0818,0.35401,1.35769,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,1005.28,0.64174,0.28584,0.97588,0.99245,0.98527,0.99467,0.73534,1.0648,0.35824,1.3694,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1067.43,0.63381,0.28221,0.96821,0.99243,0.98343,0.9925,0.7449,1.0755,0.36291,1.38366,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1128.78,0.60956,0.27377,0.95401,0.99262,0.99071,0.99493,0.7481,1.04003,0.33881,1.35171,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1190.05,0.60106,0.27039,0.94977,0.99774,0.99079,0.99496,0.7428,1.05577,0.34184,1.37696,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1252.16,0.57886,0.26786,0.94387,0.99627,0.98323,0.99485,0.74059,1.05262,0.34084,1.38529,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,1312.59,0.56647,0.25997,0.93494,0.99353,0.98527,0.99484,0.74336,1.0528,0.33665,1.41034,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1373.96,0.55627,0.25394,0.93206,0.99726,0.98158,0.99468,0.73674,1.05183,0.34736,1.41301,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1434.67,0.53336,0.247,0.92195,0.98895,0.98889,0.9934,0.7359,1.04407,0.34607,1.4284,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1495.11,0.51832,0.24228,0.91576,0.99185,0.99263,0.99493,0.74715,1.04342,0.32319,1.42521,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1554.17,0.51268,0.23591,0.91398,0.99243,0.98527,0.99469,0.7475,1.03361,0.3501,1.41207,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,1616.01,0.49282,0.22959,0.90419,0.99144,0.99263,0.99481,0.7537,1.04855,0.33888,1.43884,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,1677.61,0.49164,0.22834,0.90282,0.99396,0.98343,0.99114,0.74484,1.03213,0.36545,1.44642,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,1738.64,0.47182,0.22404,0.89748,0.99813,0.9822,0.99442,0.74807,1.05614,0.36269,1.44682,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,1799.95,0.46133,0.22159,0.89191,0.99072,0.98261,0.99431,0.74301,1.03995,0.36078,1.43685,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,1858.96,0.45367,0.21444,0.88831,0.99253,0.97913,0.99335,0.75123,1.04369,0.36381,1.4677,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1920.83,0.43942,0.20966,0.88674,0.9907,0.98128,0.99139,0.74062,1.05106,0.37723,1.4749,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1979.65,0.43367,0.20862,0.88511,0.99367,0.98343,0.99139,0.74805,1.03845,0.36881,1.46472,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2041.35,0.41972,0.20126,0.87714,0.99557,0.98343,0.99194,0.7496,1.03332,0.3524,1.47876,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2102.94,0.41537,0.20316,0.8808,0.99229,0.98527,0.99142,0.73814,1.03764,0.36961,1.49511,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2163.08,0.41061,0.19846,0.87495,0.99246,0.98527,0.99249,0.74753,1.05499,0.35503,1.51157,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2224.8,0.39873,0.19439,0.86876,0.99258,0.98508,0.99354,0.74692,1.03983,0.34582,1.5081,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2283.83,0.39232,0.19385,0.87036,0.99613,0.98343,0.99134,0.74704,1.03561,0.33897,1.50471,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2345.19,0.38074,0.18812,0.8688,0.99627,0.98336,0.99095,0.74594,1.03838,0.35265,1.52783,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2404.11,0.37946,0.18672,0.86088,0.99557,0.98158,0.99181,0.74453,1.03072,0.3433,1.51984,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2466.13,0.36705,0.1799,0.86045,0.99796,0.98158,0.99154,0.747,1.03696,0.34676,1.51066,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2543.06,0.36497,0.17211,0.85699,0.99807,0.98158,0.99163,0.75068,1.06118,0.34945,1.53051,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2603.36,0.32504,0.15923,0.83783,0.99414,0.98527,0.99128,0.75135,1.04792,0.36017,1.53821,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
