epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.544,1.94382,1.79854,2.79377,0.90191,0.96517,0.95162,0.60331,1.2698,1.31711,2.02537,0.00066365,0.00066365,0.00066365
2,267.075,1.31457,0.78366,1.82335,0.97526,0.96501,0.99067,0.6611,1.20201,0.93617,1.9272,0.00130398,0.00130398,0.00130398
3,399.025,1.21271,0.66288,1.7033,0.95222,0.9779,0.95796,0.64891,1.15016,0.68481,1.77102,0.0019179,0.0019179,0.0019179
4,530.371,1.16187,0.60465,1.65447,0.96921,0.92744,0.98415,0.63574,1.25085,0.94157,1.84115,0.0018812,0.0018812,0.0018812
5,662.313,1.10882,0.5729,1.60269,0.97503,0.9779,0.9885,0.68492,1.13438,0.60705,1.77543,0.0018416,0.0018416,0.0018416
6,794.279,1.06478,0.53549,1.5639,0.98315,0.98895,0.99431,0.72567,1.04927,0.47491,1.69689,0.001802,0.001802,0.001802
7,926.004,1.04679,0.51905,1.54884,0.99258,0.98478,0.99418,0.68594,1.16947,0.4671,1.92745,0.0017624,0.0017624,0.0017624
8,1057.76,1.02791,0.50417,1.52321,0.98523,0.98278,0.99223,0.68188,1.13636,0.51781,1.85212,0.0017228,0.0017228,0.0017228
9,1189.21,1.00454,0.49091,1.51036,0.9925,0.99079,0.99444,0.62106,1.37447,0.4917,2.22399,0.0016832,0.0016832,0.0016832
10,1320.6,0.99959,0.47696,1.50291,0.99169,0.99079,0.99491,0.72282,1.07773,0.43665,1.75897,0.0016436,0.0016436,0.0016436
11,1452.22,0.98494,0.4742,1.48479,0.99196,0.99079,0.99304,0.73817,1.01633,0.44034,1.66986,0.001604,0.001604,0.001604
12,1584.03,0.9695,0.467,1.48501,0.99219,0.99079,0.99468,0.75297,0.99893,0.4161,1.68468,0.0015644,0.0015644,0.0015644
13,1715.67,0.96766,0.45982,1.47267,0.99162,0.97238,0.99387,0.7364,1.04347,0.42177,1.73165,0.0015248,0.0015248,0.0015248
14,1846.9,0.9604,0.45148,1.46796,0.99225,0.99263,0.99493,0.7271,1.03345,0.39661,1.73505,0.0014852,0.0014852,0.0014852
15,1978.07,0.94455,0.4369,1.45609,0.99007,0.97606,0.99388,0.71021,1.1019,0.42907,1.80793,0.0014456,0.0014456,0.0014456
16,2109.36,0.94077,0.44127,1.45462,0.99055,0.96482,0.99172,0.68652,1.15175,0.6476,1.84188,0.001406,0.001406,0.001406
17,2240.53,0.92914,0.43063,1.43746,0.99243,0.99263,0.99463,0.74505,1.01381,0.39736,1.70797,0.0013664,0.0013664,0.0013664
18,2373,0.91732,0.42902,1.42907,0.99133,0.99079,0.99483,0.73176,1.04905,0.40469,1.76459,0.0013268,0.0013268,0.0013268
19,2506.01,0.92283,0.42248,1.43519,0.9895,0.99263,0.99459,0.6974,1.17249,0.42491,1.92309,0.0012872,0.0012872,0.0012872
20,2637.26,0.89465,0.40964,1.41281,0.98651,0.98711,0.99367,0.71204,1.09964,0.40151,1.8518,0.0012476,0.0012476,0.0012476
21,2768.56,0.90218,0.41302,1.42358,0.99249,0.99263,0.99481,0.75073,0.98228,0.3931,1.67174,0.001208,0.001208,0.001208
22,2899.55,0.89125,0.41206,1.40945,0.99234,0.99263,0.99485,0.74915,0.97459,0.3712,1.67142,0.0011684,0.0011684,0.0011684
23,3030.71,0.88245,0.40322,1.41632,0.99227,0.99079,0.9946,0.69812,1.16568,0.40927,1.96989,0.0011288,0.0011288,0.0011288
