epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.336,2.33051,2.13829,2.871,0.68312,0.63814,0.65211,0.33651,1.68059,1.73827,2.31396,0.00066365,0.00066365,0.00066365
2,268.238,1.53025,1.19017,1.90769,0.8298,0.5961,0.70638,0.39334,1.54682,1.23787,2.03292,0.00130398,0.00130398,0.00130398
3,400.647,1.38128,1.07832,1.73954,0.72335,0.6834,0.71108,0.45804,1.28018,1.18681,1.73627,0.0019179,0.0019179,0.0019179
4,532.524,1.2885,1.02229,1.64186,0.70541,0.68107,0.72136,0.47018,1.21337,0.98931,1.68621,0.0018812,0.0018812,0.0018812
5,665.021,1.18927,0.95236,1.54899,0.80341,0.69498,0.74221,0.47694,1.19199,0.95174,1.62802,0.0018416,0.0018416,0.0018416
6,797.339,1.14649,0.93746,1.51402,0.77335,0.67053,0.76155,0.52371,1.13641,0.92722,1.60257,0.001802,0.001802,0.001802
7,929.196,1.10021,0.89316,1.46437,0.72545,0.73874,0.76253,0.54694,1.02978,0.90921,1.52056,0.0017624,0.0017624,0.0017624
8,1061.57,1.06417,0.87937,1.44754,0.79724,0.72871,0.79826,0.55045,1.06043,0.88351,1.55887,0.0017228,0.0017228,0.0017228
9,1194.15,1.03565,0.85673,1.41776,0.7352,0.70914,0.78819,0.5547,1.02779,0.86446,1.50586,0.0016832,0.0016832,0.0016832
10,1327.31,1.0065,0.83801,1.39642,0.75989,0.71279,0.78921,0.55728,1.02042,0.86747,1.49544,0.0016436,0.0016436,0.0016436
11,1459.09,0.98511,0.82333,1.37349,0.82615,0.6911,0.78741,0.57953,0.94926,0.85377,1.42848,0.001604,0.001604,0.001604
12,1591.15,0.95809,0.79816,1.3498,0.79087,0.7529,0.81094,0.58306,0.95844,0.80118,1.43212,0.0015644,0.0015644,0.0015644
13,1723.17,0.939,0.78783,1.34333,0.70298,0.71171,0.75017,0.5415,0.94319,0.90536,1.43665,0.0015248,0.0015248,0.0015248
14,1855.11,0.9229,0.78083,1.32366,0.80249,0.74389,0.81777,0.59439,0.93982,0.79971,1.43278,0.0014852,0.0014852,0.0014852
15,1987.93,0.89614,0.75806,1.30973,0.80418,0.72458,0.7996,0.57805,0.92933,0.82842,1.44102,0.0014456,0.0014456,0.0014456
16,2119.8,0.90227,0.76482,1.30889,0.80024,0.71042,0.80722,0.60405,0.91438,0.80159,1.41733,0.001406,0.001406,0.001406
17,2252.37,0.88827,0.75687,1.30047,0.75854,0.76062,0.79115,0.58431,0.87572,0.82793,1.3795,0.0013664,0.0013664,0.0013664
18,2384.68,0.86719,0.7357,1.28508,0.7944,0.75676,0.83215,0.60317,0.92123,0.76371,1.4068,0.0013268,0.0013268,0.0013268
19,2516.56,0.85775,0.73412,1.27052,0.75136,0.74674,0.80479,0.59524,0.87203,0.78609,1.3858,0.0012872,0.0012872,0.0012872
20,2648.86,0.8403,0.7234,1.25556,0.7989,0.74389,0.82745,0.61261,0.89257,0.76091,1.37737,0.0012476,0.0012476,0.0012476
21,2780.83,0.84088,0.71094,1.26236,0.80953,0.74003,0.82623,0.62659,0.84008,0.77017,1.35696,0.001208,0.001208,0.001208
22,2913.13,0.82893,0.71106,1.25043,0.77767,0.75626,0.81484,0.61223,0.84591,0.76808,1.33609,0.0011684,0.0011684,0.0011684
23,3044.78,0.8058,0.69303,1.23334,0.79446,0.74775,0.82461,0.63526,0.83846,0.78201,1.34757,0.0011288,0.0011288,0.0011288
24,3177.33,0.80261,0.68992,1.23646,0.80127,0.75547,0.82127,0.62046,0.85342,0.76971,1.34317,0.0010892,0.0010892,0.0010892
25,3309.03,0.78439,0.70084,1.21211,0.78858,0.75848,0.8167,0.61945,0.82322,0.75387,1.35064,0.0010496,0.0010496,0.0010496
26,3440.98,0.79315,0.68125,1.22259,0.79426,0.78004,0.83697,0.63722,0.81867,0.75736,1.33472,0.00101,0.00101,0.00101
27,3572.72,0.76814,0.66377,1.2041,0.81144,0.72716,0.7995,0.60118,0.86323,0.79987,1.39107,0.0009704,0.0009704,0.0009704
28,3704.86,0.76648,0.6578,1.20304,0.84848,0.71557,0.82814,0.63169,0.83449,0.75995,1.36835,0.0009308,0.0009308,0.0009308
29,3836.93,0.75796,0.64702,1.19735,0.83,0.7289,0.82738,0.62843,0.85582,0.73317,1.39308,0.0008912,0.0008912,0.0008912
30,3968.56,0.75804,0.6469,1.19703,0.80404,0.74985,0.82599,0.63394,0.84132,0.74807,1.35594,0.0008516,0.0008516,0.0008516
31,4100.34,0.73237,0.62349,1.17149,0.80753,0.75161,0.83614,0.64594,0.8362,0.71893,1.34482,0.000812,0.000812,0.000812
32,4232.96,0.7323,0.62574,1.17743,0.79566,0.75172,0.82719,0.64013,0.80891,0.74037,1.33071,0.0007724,0.0007724,0.0007724
33,4364.85,0.7329,0.61605,1.17946,0.81762,0.74431,0.83336,0.65054,0.81339,0.70744,1.34024,0.0007328,0.0007328,0.0007328
34,4497.15,0.71816,0.62853,1.15814,0.83879,0.74331,0.8379,0.64664,0.8107,0.72591,1.34653,0.0006932,0.0006932,0.0006932
35,4630.01,0.7135,0.61237,1.16172,0.7796,0.77864,0.8397,0.659,0.77415,0.69033,1.30418,0.0006536,0.0006536,0.0006536
36,4762.64,0.70714,0.60511,1.15899,0.79744,0.7722,0.84126,0.65531,0.80116,0.69112,1.34543,0.000614,0.000614,0.000614
37,4895.3,0.69513,0.59195,1.14225,0.79549,0.76963,0.83717,0.65862,0.78468,0.68712,1.31774,0.0005744,0.0005744,0.0005744
38,5026.73,0.68617,0.58061,1.13643,0.82511,0.75293,0.82287,0.64731,0.78266,0.73706,1.32184,0.0005348,0.0005348,0.0005348
39,5158.42,0.68218,0.58038,1.13626,0.78088,0.74761,0.82098,0.64386,0.79971,0.73179,1.34349,0.0004952,0.0004952,0.0004952
40,5290.06,0.66757,0.57517,1.13415,0.78699,0.76577,0.82972,0.65978,0.78417,0.72851,1.33138,0.0004556,0.0004556,0.0004556
41,5418.12,0.6346,0.55838,1.14343,0.76676,0.78121,0.8346,0.66146,0.77228,0.69146,1.30834,0.000416,0.000416,0.000416
42,5546.26,0.62581,0.53436,1.13259,0.80219,0.74634,0.83366,0.65764,0.79918,0.71471,1.32903,0.0003764,0.0003764,0.0003764
43,5673.71,0.60889,0.52472,1.12531,0.80156,0.74903,0.83045,0.64918,0.77844,0.69573,1.34513,0.0003368,0.0003368,0.0003368
