epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.842,2.36231,3.04238,2.1872,2.81318,0.46087,0.37194,0.26523,0.13271,0.45486,0.37066,0.26328,0.13273,2.04606,116.884,2.43304,3.89493,0.00066365,0.00066365,0.00066365
2,310.383,1.43871,1.89614,1.20399,1.71228,0.68182,0.53925,0.62417,0.38638,0.7185,0.53217,0.62868,0.37663,1.31276,1.8967,1.41008,1.5972,0.00130398,0.00130398,0.00130398
3,464.342,1.28844,1.78933,1.09332,1.52302,0.6686,0.69884,0.73112,0.48618,0.67017,0.70399,0.73637,0.4721,1.18473,1.70499,1.11581,1.43663,0.0019179,0.0019179,0.0019179
4,617.695,1.20237,1.68086,1.02245,1.43607,0.75891,0.63835,0.75034,0.52036,0.78311,0.62267,0.74249,0.49406,1.08821,1.69014,0.97551,1.42141,0.0018812,0.0018812,0.0018812
5,771.352,1.11645,1.6038,0.96107,1.3695,0.78147,0.68574,0.7906,0.52656,0.76126,0.70013,0.78754,0.49711,1.09098,1.71383,0.93211,1.3725,0.0018416,0.0018416,0.0018416
6,924.515,1.07779,1.57705,0.93672,1.33683,0.74001,0.71815,0.77462,0.54502,0.76057,0.71135,0.77652,0.52166,1.03773,1.6357,0.90115,1.34962,0.001802,0.001802,0.001802
7,1077.56,1.01312,1.48663,0.87971,1.28733,0.79863,0.71971,0.78969,0.56713,0.80209,0.72458,0.7902,0.53747,0.99417,1.59506,0.86239,1.3556,0.0017624,0.0017624,0.0017624
8,1230.96,0.99294,1.47377,0.86506,1.26952,0.77829,0.70931,0.80863,0.56715,0.7794,0.71389,0.8017,0.53884,0.98614,1.56369,0.85698,1.3046,0.0017228,0.0017228,0.0017228
9,1384.32,0.96327,1.4411,0.84536,1.25566,0.82853,0.6538,0.7471,0.51524,0.83455,0.65894,0.74571,0.47192,1.03805,1.80738,0.90663,1.42028,0.0016832,0.0016832,0.0016832
10,1538.68,0.92947,1.39112,0.82386,1.22784,0.82596,0.64744,0.79227,0.57879,0.82232,0.65637,0.78451,0.53391,0.94878,1.56968,0.85865,1.29421,0.0016436,0.0016436,0.0016436
11,1693.65,0.92123,1.38311,0.81435,1.21773,0.78824,0.72587,0.81844,0.60844,0.79152,0.72803,0.8162,0.55644,0.9222,1.40648,0.83555,1.28238,0.001604,0.001604,0.001604
12,1848.52,0.91108,1.37744,0.7944,1.21363,0.78238,0.73102,0.81132,0.60024,0.80227,0.7323,0.81937,0.57338,0.94901,1.42035,0.8302,1.25261,0.0015644,0.0015644,0.0015644
13,2003.44,0.8839,1.34043,0.77346,1.20036,0.77192,0.73614,0.80008,0.59477,0.7796,0.72839,0.80263,0.56432,0.90774,1.39021,0.84344,1.24758,0.0015248,0.0015248,0.0015248
14,2158.08,0.86288,1.31586,0.77237,1.18349,0.79782,0.74657,0.82819,0.62031,0.8047,0.75301,0.83101,0.57751,0.876,1.42886,0.79744,1.24016,0.0014852,0.0014852,0.0014852
15,2312.83,0.83334,1.30655,0.75014,1.17125,0.75298,0.75933,0.82798,0.61972,0.81295,0.71598,0.82043,0.55832,0.87386,1.4653,0.77409,1.24775,0.0014456,0.0014456,0.0014456
16,2468.54,0.8449,1.30716,0.75267,1.17561,0.83222,0.71171,0.81138,0.62664,0.83532,0.70656,0.79776,0.56331,0.82259,1.40394,0.77833,1.188,0.001406,0.001406,0.001406
17,2624.02,0.83199,1.29769,0.74747,1.1643,0.83601,0.72169,0.82831,0.63275,0.83584,0.72081,0.82244,0.56391,0.8226,1.40312,0.73221,1.2162,0.0013664,0.0013664,0.0013664
18,2777.55,0.83875,1.28045,0.74589,1.17019,0.78444,0.75404,0.83314,0.62988,0.81667,0.73874,0.83321,0.57273,0.85849,1.39461,0.76465,1.24218,0.0013268,0.0013268,0.0013268
19,2946.42,0.80855,1.25381,0.73125,1.14911,0.80632,0.73938,0.81704,0.61471,0.83737,0.71943,0.81671,0.56088,0.85905,1.42489,0.77662,1.22593,0.0012872,0.0012872,0.0012872
20,3100.4,0.78472,1.21999,0.71032,1.12811,0.81398,0.74775,0.82806,0.63475,0.80734,0.74426,0.82163,0.58245,0.81875,1.35216,0.73018,1.21702,0.0012476,0.0012476,0.0012476
21,3255.14,0.78159,1.23533,0.70634,1.13208,0.80369,0.75418,0.82911,0.64158,0.80194,0.75032,0.82096,0.58248,0.81984,1.42477,0.76024,1.20633,0.001208,0.001208,0.001208
22,3423.15,0.77332,1.22084,0.69619,1.12426,0.83093,0.73102,0.8322,0.63346,0.83576,0.71815,0.82278,0.57514,0.82916,1.36998,0.73056,1.22629,0.0011684,0.0011684,0.0011684
23,3633.86,0.76005,1.18474,0.68642,1.11704,0.74231,0.74888,0.81617,0.63357,0.77984,0.72029,0.81199,0.5792,0.77991,1.32701,0.75147,1.19483,0.0011288,0.0011288,0.0011288
24,3843.49,0.76288,1.21775,0.68686,1.12265,0.803,0.73874,0.83435,0.64731,0.80624,0.74003,0.82993,0.59268,0.77315,1.31926,0.72976,1.18429,0.0010892,0.0010892,0.0010892
25,4054.5,0.73739,1.18274,0.68166,1.10014,0.82374,0.72174,0.83061,0.64295,0.82205,0.71347,0.81988,0.58737,0.782,1.34704,0.75163,1.19057,0.0010496,0.0010496,0.0010496
26,4268.09,0.73886,1.17746,0.67037,1.10231,0.84173,0.72587,0.8365,0.64773,0.83065,0.71686,0.82893,0.59033,0.78737,1.29903,0.74123,1.19117,0.00101,0.00101,0.00101
27,4476.96,0.72576,1.1606,0.65785,1.09395,0.81821,0.74725,0.8313,0.62709,0.85156,0.71557,0.81316,0.55947,0.82499,1.43275,0.75481,1.25423,0.0009704,0.0009704,0.0009704
28,4687.42,0.71485,1.14533,0.64511,1.08693,0.80677,0.73618,0.83342,0.65177,0.82776,0.72367,0.83184,0.59995,0.78261,1.31523,0.71892,1.20563,0.0009308,0.0009308,0.0009308
29,4898.73,0.71613,1.14255,0.64051,1.08832,0.79253,0.76696,0.83738,0.64932,0.78959,0.74858,0.82311,0.59542,0.79863,1.33554,0.72245,1.18575,0.0008912,0.0008912,0.0008912
