epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.073,2.24766,2.09654,2.81221,0.68002,0.63649,0.5957,0.30838,1.73134,1.85415,2.25853,0.00066365,0.00066365,0.00066365
2,266.939,1.45758,1.17224,1.83122,0.74291,0.70919,0.74824,0.47564,1.3503,1.27011,1.87587,0.00130398,0.00130398,0.00130398
3,401.558,1.27605,1.04704,1.6433,0.73685,0.73388,0.74581,0.49158,1.19192,1.11552,1.69232,0.0019179,0.0019179,0.0019179
4,533.052,1.18726,0.99409,1.54435,0.7455,0.71331,0.79321,0.51578,1.16547,1.04054,1.68739,0.0018812,0.0018812,0.0018812
5,664.739,1.09666,0.94015,1.45587,0.801,0.7572,0.8035,0.52418,1.1165,0.97504,1.59396,0.0018416,0.0018416,0.0018416
6,797.225,1.04615,0.92808,1.4179,0.77926,0.76514,0.78772,0.53662,1.15746,0.90965,1.72447,0.001802,0.001802,0.001802
7,929.043,0.98162,0.86225,1.36137,0.77522,0.7668,0.81692,0.60769,0.94121,0.87321,1.45965,0.0017624,0.0017624,0.0017624
8,1061.72,0.94771,0.84857,1.34244,0.74902,0.75034,0.75464,0.55459,0.8925,0.87124,1.38272,0.0017228,0.0017228,0.0017228
9,1193.55,0.93165,0.83524,1.32379,0.80508,0.75355,0.83427,0.62532,0.86053,0.85891,1.37259,0.0016832,0.0016832,0.0016832
10,1325.39,0.89627,0.81011,1.29813,0.75077,0.78511,0.83243,0.61987,0.86598,0.83678,1.41995,0.0016436,0.0016436,0.0016436
11,1456.54,0.87096,0.80495,1.27021,0.77451,0.78738,0.84683,0.63867,0.83614,0.81438,1.37034,0.001604,0.001604,0.001604
12,1588.32,0.85144,0.77501,1.25939,0.8087,0.78464,0.86186,0.63917,0.82897,0.76153,1.37568,0.0015644,0.0015644,0.0015644
