epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.219,2.19176,2.08842,2.88757,0.78705,0.70124,0.75927,0.411,1.57807,1.29661,2.20913,0.00066365,0.00066365,0.00066365
2,270.952,1.46593,1.12306,1.89896,0.86139,0.77919,0.79928,0.44408,1.54016,1.18298,2.26514,0.00130398,0.00130398,0.00130398
3,404.144,1.31931,1.02047,1.73895,0.84002,0.73994,0.81312,0.48545,1.39271,1.27977,2.01448,0.0019179,0.0019179,0.0019179
4,536.75,1.23036,0.94332,1.6404,0.81938,0.79356,0.84834,0.57171,1.15176,0.98736,1.75205,0.0018812,0.0018812,0.0018812
5,669.336,1.13616,0.89367,1.56187,0.82062,0.71517,0.79356,0.52315,1.22639,1.05766,2.00501,0.0018416,0.0018416,0.0018416
6,801.535,1.11338,0.87654,1.53567,0.83438,0.77207,0.84421,0.56964,1.0399,0.95913,1.58004,0.001802,0.001802,0.001802
7,934.457,1.04237,0.84328,1.46172,0.77245,0.81977,0.85413,0.60115,0.96569,0.90598,1.56549,0.0017624,0.0017624,0.0017624
8,1067.01,1.01272,0.81843,1.44723,0.77264,0.78383,0.83731,0.56514,1.10573,0.93984,1.78586,0.0017228,0.0017228,0.0017228
9,1199.33,1.00312,0.80344,1.42574,0.8372,0.81269,0.89617,0.64529,0.97803,0.82533,1.51297,0.0016832,0.0016832,0.0016832
10,1332.19,0.96511,0.78767,1.40166,0.8857,0.78793,0.88912,0.59405,1.09562,0.86081,1.78956,0.0016436,0.0016436,0.0016436
11,1464.58,0.95157,0.77685,1.38021,0.80974,0.79058,0.87558,0.61947,1.01251,0.88122,1.66349,0.001604,0.001604,0.001604
12,1596.94,0.93804,0.75238,1.37249,0.87879,0.79686,0.89391,0.65076,0.90167,0.80352,1.43272,0.0015644,0.0015644,0.0015644
13,1729.62,0.90941,0.74274,1.35231,0.82516,0.77399,0.832,0.58105,0.96888,0.98032,1.5185,0.0015248,0.0015248,0.0015248
14,1861.93,0.90074,0.72757,1.33926,0.83146,0.77128,0.81739,0.56502,1.04703,1.01249,1.73989,0.0014852,0.0014852,0.0014852
15,1994.1,0.87752,0.71599,1.32044,0.77426,0.78019,0.8629,0.61526,0.95128,0.8775,1.59249,0.0014456,0.0014456,0.0014456
16,2126.89,0.86657,0.71079,1.31481,0.86574,0.8065,0.90015,0.67645,0.78842,0.77515,1.36612,0.001406,0.001406,0.001406
17,2259.42,0.85935,0.70505,1.30666,0.82344,0.79413,0.87098,0.65198,0.87381,0.83711,1.41948,0.0013664,0.0013664,0.0013664
18,2391.59,0.85289,0.69972,1.30411,0.89438,0.80805,0.90146,0.68507,0.83449,0.74364,1.4051,0.0013268,0.0013268,0.0013268
19,2524.47,0.83602,0.68632,1.28325,0.88346,0.8065,0.90439,0.6954,0.79582,0.73136,1.35005,0.0012872,0.0012872,0.0012872
20,2656.95,0.81661,0.67257,1.27038,0.88245,0.80181,0.90247,0.69001,0.80756,0.74635,1.37044,0.0012476,0.0012476,0.0012476
21,2789.48,0.81809,0.66228,1.277,0.85636,0.7937,0.89039,0.67591,0.84225,0.77544,1.44194,0.001208,0.001208,0.001208
22,2922.27,0.79708,0.65255,1.26219,0.83213,0.81734,0.88916,0.67291,0.82927,0.79869,1.40763,0.0011684,0.0011684,0.0011684
23,3054.99,0.79267,0.64162,1.24815,0.86195,0.78019,0.89175,0.6817,0.81441,0.78576,1.41793,0.0011288,0.0011288,0.0011288
24,3186.88,0.7768,0.62718,1.23452,0.85744,0.81935,0.89874,0.69582,0.77884,0.75207,1.35909,0.0010892,0.0010892,0.0010892
25,3319.86,0.76684,0.62346,1.23197,0.84529,0.8452,0.90245,0.69041,0.79785,0.72568,1.36127,0.0010496,0.0010496,0.0010496
26,3452.21,0.75837,0.62006,1.2284,0.89779,0.82043,0.90884,0.70078,0.77878,0.68634,1.36073,0.00101,0.00101,0.00101
27,3585.13,0.75165,0.61708,1.22104,0.85279,0.83127,0.89139,0.6863,0.82079,0.74845,1.39557,0.0009704,0.0009704,0.0009704
