epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.806,2.31267,2.10747,2.91077,0.70937,0.64877,0.67519,0.32585,1.79358,2.20952,2.32826,0.00066365,0.00066365,0.00066365
2,269.032,1.57798,1.13009,1.92028,0.79302,0.69086,0.74327,0.42298,1.49985,1.3238,1.89968,0.00130398,0.00130398,0.00130398
3,402.516,1.41718,1.05765,1.73731,0.82935,0.70972,0.77588,0.47105,1.38373,1.22145,1.70766,0.0019179,0.0019179,0.0019179
4,535.911,1.32252,0.9769,1.61782,0.83998,0.69086,0.80038,0.53126,1.2072,1.01841,1.57749,0.0018812,0.0018812,0.0018812
5,670.073,1.24548,0.93942,1.55421,0.85104,0.70481,0.82417,0.54944,1.15203,0.95545,1.53805,0.0018416,0.0018416,0.0018416
6,803.92,1.18934,0.91236,1.50909,0.82324,0.74355,0.83277,0.54565,1.20941,0.94049,1.5752,0.001802,0.001802,0.001802
7,937.645,1.14309,0.8732,1.45807,0.84456,0.73149,0.84759,0.57229,1.11484,0.90558,1.46362,0.0017624,0.0017624,0.0017624
8,1071.63,1.10536,0.84133,1.42775,0.81195,0.73319,0.84031,0.58765,1.06196,0.88102,1.43575,0.0017228,0.0017228,0.0017228
9,1205.61,1.08781,0.8242,1.41124,0.83054,0.76115,0.85061,0.59682,1.02724,0.83682,1.39515,0.0016832,0.0016832,0.0016832
10,1339.31,1.05303,0.80722,1.38974,0.82639,0.78758,0.85068,0.57663,1.1079,0.87803,1.48919,0.0016436,0.0016436,0.0016436
11,1472.73,1.0541,0.80425,1.38893,0.79601,0.77592,0.8427,0.57907,1.13443,0.87222,1.51644,0.001604,0.001604,0.001604
12,1606.61,1.02411,0.771,1.36486,0.8479,0.77673,0.85318,0.62882,0.96745,0.80761,1.35475,0.0015644,0.0015644,0.0015644
13,1740.27,0.99743,0.77096,1.34675,0.83608,0.76778,0.8177,0.56767,1.06933,0.88265,1.43297,0.0015248,0.0015248,0.0015248
14,1873.87,0.99321,0.7484,1.34282,0.7591,0.75006,0.76764,0.47929,1.30086,0.9705,1.7675,0.0014852,0.0014852,0.0014852
15,2007.39,0.97043,0.74115,1.32362,0.8261,0.77911,0.84883,0.6186,0.97342,0.80649,1.38032,0.0014456,0.0014456,0.0014456
