epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.376,2.30995,3.10163,2.05489,2.83943,0.70066,0.62554,0.66952,0.36659,0.71218,0.6177,0.67133,0.32738,1.61641,17.7157,1.41327,2.06144,0.00066365,0.00066365,0.00066365
2,314.297,1.48059,2.03608,1.12936,1.78765,0.7239,0.69636,0.72006,0.43567,0.71847,0.68522,0.71079,0.39208,1.32747,2.17373,1.43754,1.69185,0.00130398,0.00130398,0.00130398
3,471.168,1.35165,1.96118,1.0373,1.63328,0.76481,0.72212,0.75949,0.44847,0.74928,0.73004,0.74304,0.39846,1.45399,2.53826,1.00837,1.81434,0.0019179,0.0019179,0.0019179
4,625.777,1.25061,1.82726,0.96869,1.52247,0.8431,0.72714,0.81558,0.50414,0.85798,0.71408,0.81482,0.46589,1.3884,2.13158,1.01886,1.72388,0.0018812,0.0018812,0.0018812
5,780.928,1.17025,1.75724,0.90659,1.45684,0.80982,0.72569,0.79861,0.51529,0.79699,0.70652,0.78085,0.45163,1.26936,2.13277,0.92135,1.65526,0.0018416,0.0018416,0.0018416
6,935.956,1.151,1.7181,0.88484,1.43641,0.83362,0.74173,0.84024,0.56908,0.84799,0.73585,0.84109,0.53237,1.06476,1.79608,0.86505,1.41825,0.001802,0.001802,0.001802
7,1090.71,1.09023,1.67276,0.85591,1.38548,0.8563,0.73512,0.84327,0.58507,0.85656,0.73667,0.85049,0.55013,1.03526,1.64561,0.85512,1.37774,0.0017624,0.0017624,0.0017624
8,1245.6,1.05343,1.63982,0.82191,1.35395,0.80896,0.74364,0.82071,0.55863,0.79654,0.74456,0.81282,0.50189,1.18674,1.98556,0.92665,1.53834,0.0017228,0.0017228,0.0017228
9,1400.5,1.05294,1.59669,0.81478,1.35284,0.86065,0.77988,0.86369,0.62082,0.84002,0.80017,0.87122,0.57452,1.00525,1.64212,0.7846,1.34426,0.0016832,0.0016832,0.0016832
10,1555.07,1.00588,1.54598,0.79314,1.32226,0.80509,0.77938,0.82613,0.56741,0.8036,0.77792,0.82317,0.52044,1.03586,1.71859,0.86133,1.41924,0.0016436,0.0016436,0.0016436
11,1709.32,1.00011,1.53047,0.77636,1.31701,0.81003,0.81132,0.86076,0.60364,0.83614,0.79971,0.86129,0.55977,1.05408,1.69948,0.77776,1.41726,0.001604,0.001604,0.001604
12,1864.05,0.98174,1.53103,0.75711,1.301,0.81657,0.79469,0.8622,0.63974,0.80956,0.79589,0.86342,0.5892,0.94232,1.58717,0.77321,1.29288,0.0015644,0.0015644,0.0015644
13,2019.19,0.94726,1.47231,0.7447,1.27802,0.88881,0.77504,0.85977,0.60873,0.88048,0.76778,0.85269,0.56223,1.06052,1.73247,0.79802,1.40204,0.0015248,0.0015248,0.0015248
14,2173.9,0.93872,1.47647,0.72689,1.2696,0.83893,0.76923,0.86619,0.6564,0.84685,0.77649,0.8689,0.60821,0.92454,1.68949,0.72205,1.29846,0.0014852,0.0014852,0.0014852
15,2328.72,0.91933,1.45554,0.71752,1.25958,0.85518,0.76778,0.85991,0.63929,0.85354,0.7697,0.8574,0.59281,0.9419,1.60079,0.77476,1.31406,0.0014456,0.0014456,0.0014456
16,2484.76,0.9093,1.44263,0.70678,1.25345,0.79812,0.77068,0.84451,0.62338,0.80374,0.7608,0.83727,0.5663,0.94295,1.6227,0.79262,1.31281,0.001406,0.001406,0.001406
17,2639.45,0.89745,1.42744,0.69046,1.23865,0.8136,0.78555,0.85664,0.63866,0.83014,0.80152,0.85949,0.59285,0.93879,1.63497,0.75891,1.3134,0.0013664,0.0013664,0.0013664
18,2794.09,0.90076,1.4203,0.69613,1.25229,0.85061,0.78511,0.87657,0.66669,0.87436,0.75907,0.87353,0.61664,0.88356,1.4856,0.68263,1.25485,0.0013268,0.0013268,0.0013268
19,2949.15,0.86766,1.3884,0.69128,1.21995,0.84642,0.77588,0.86574,0.6545,0.83226,0.7852,0.86161,0.59464,0.88021,1.52729,0.73116,1.26588,0.0012872,0.0012872,0.0012872
20,3103.97,0.85836,1.37793,0.66642,1.21077,0.86236,0.80933,0.88166,0.6583,0.87001,0.81599,0.88361,0.62017,0.89057,1.52606,0.69655,1.27685,0.0012476,0.0012476,0.0012476
21,3258.84,0.8568,1.37253,0.66617,1.21873,0.82958,0.81713,0.87458,0.65563,0.84562,0.80293,0.87212,0.60279,0.91523,1.54029,0.70472,1.29132,0.001208,0.001208,0.001208
22,3413.84,0.83651,1.34208,0.65375,1.20216,0.84094,0.79681,0.87408,0.66422,0.83493,0.81277,0.8751,0.63013,0.88338,1.48857,0.70831,1.25143,0.0011684,0.0011684,0.0011684
23,3568.45,0.83426,1.3333,0.649,1.19724,0.85978,0.79207,0.88814,0.67548,0.88434,0.77681,0.88317,0.61765,0.87883,1.44194,0.68765,1.24988,0.0011288,0.0011288,0.0011288
24,3723.25,0.82075,1.32931,0.63029,1.18827,0.85019,0.7907,0.86405,0.65139,0.8468,0.77814,0.85625,0.60112,0.90433,1.54489,0.72919,1.29077,0.0010892,0.0010892,0.0010892
